generation,# of moves until defeat playing first against minimax,# of moves until defeat playing second against minimax
1617,21,20
1618,27,22
1619,15,18
1620,19,28
1621,19,14
1622,25,14
1623,17,32
1624,27,26
1625,21,30
1626,21,18
1627,21,30
1628,21,18
1629,21,30
1630,17,20
1631,17,30
1632,17,30
1633,17,26
1634,17,20
1635,17,26
1636,17,20
1637,17,26
1638,19,20
1639,15,22
1640,17,38
1641,21,20
1642,19,20
1643,17,14
1644,17,20
1645,17,14
1646,17,30
1647,19,34
1648,17,22
1649,17,20
1650,15,22
1651,19,14
1652,15,24
1653,21,14
1654,17,34
1655,19,16
1656,15,24
1657,15,14
1658,15,20
1659,19,16
1660,15,20
1661,21,16
1662,21,20
1663,19,16
1664,17,14
1665,40*,32
1666,21,18
1667,40*,32
1668,21,18
1669,40*,32
1670,21,18
1671,27,14
1672,19,22
1673,19,22
1674,19,28
1675,19,41*
1676,17,41*
1677,21,20
1678,15,24
1679,19,14
1680,21,32
1681,21,20
1682,38*,18
1683,17,32
1684,15,16
1685,25,20
1686,25,16
1687,21,36
1688,21,32
1689,21,36
1690,17,43
1691,15,20
1692,21,32
1693,21,34
1694,15,18
1695,15,22
1696,19,34
1697,17,34
1698,21,16
1699,21,26
1700,21,16
1701,17,20
1702,15,24
1703,17,20
1704,19,28
1705,21,26
1706,19,28
1707,21,26
1708,19,24
1709,17,26
1710,19,28
1711,17,20
1712,19,20
1713,17,26
1714,17,14
1715,17,34
1716,15,28
1717,25,20
1718,15,28
1719,25,20
1720,15,10
1721,25,28
1722,17,24
1723,25,28
1724,17,24
1725,17,32
1726,15,28
1727,25,20
1728,17,20
1729,15,32
1730,19,20
1731,15,32
1732,19,20
1733,17,22
1734,19,20
1735,17,22
1736,17,20
1737,17,32
1738,17,14
1739,27,20
1740,17,18
1741,25,28
1742,19,32
1743,38*,30
1744,15,18
1745,19,34
1746,23,20
1747,17,32
1748,15,16
1749,15,18
1750,38*,16
1751,15,34
1752,15,16
1753,15,34
1754,19,10
1755,21,32
1756,15,18
1757,17,20
1758,15,18
1759,17,16
1760,15,20
1761,17,43
1762,19,34
1763,17,43
1764,19,26
1765,21,10
1766,23,14
1767,17,16
1768,27,20
1769,19,20
1770,27,20
1771,13,32
1772,17,28
1773,13,32
1774,23,32
1775,19,20
1776,25,14
1777,19,39*
1778,23,32
1779,15,18
1780,17,28
1781,27,30
1782,17,38
1783,19,39*
1784,17,38
1785,31,32
1786,17,28
1787,31,32
1788,21,14
1789,19,39*
1790,40*,18
1791,19,30
1792,40*,18
1793,17,32
1794,21,14
1795,17,14
1796,17,14
1797,17,34
1798,21,14
1799,17,26
1800,17,20
1801,19,30
1802,29,16
1803,17,14
1804,29,16
1805,13,16
1806,17,20
1807,13,16
1808,27,20
1809,17,28
1810,15,28
1811,17,28
1812,15,28
1813,17,28
1814,17,32
1815,19,28
1816,21,24
1817,17,22
1818,15,14
1819,40*,34
1820,15,20
1821,17,32
1822,15,28
1823,17,32
1824,15,28
1825,17,32
1826,19,36
1827,23,22
1828,17,20
1829,17,14
1830,40*,18
1831,31,14
1832,19,28
1833,31,14
1834,19,28
1835,31,14
1836,41,22
1837,29,18
1838,41,22
1839,29,18
1840,17,14
1841,17,14
1842,17,14
1843,19,20
1844,17,18
1845,15,24
1846,15,32
1847,17,14
1848,17,16
1849,15,20
1850,21,20
1851,21,20
1852,21,20
1853,21,20
1854,21,20
1855,19,20
1856,17,39*
1857,21,20
1858,17,39*
1859,17,14
1860,15,16
1861,17,14
1862,15,16
1863,17,14
1864,15,16
1865,21,14
1866,17,28
1867,25,28
1868,19,28
1869,21,14
